1,2
1,4
1,5
1,7
1,8
1,9
1,12
1,13
1,16
1,17
1,19
1,23
1,24
1,27
1,28
1,30
1,32
1,34
1,35
1,37
1,38
1,40
1,43
1,45
1,47
1,48
1,53
1,55
1,57
1,58
1,59
1,60
1,61
1,65
1,67
1,68
1,70
1,72
1,1
1,73
1,77
1,80
1,62
1,46
1,82
1,3
1,6
1,10
1,11
1,14
1,15
1,18
1,20
1,21
1,22
1,25
1,26
1,29
1,31
1,33
1,36
1,39
1,41
1,42
1,44
1,49
1,50
1,51
1,52
1,54
1,56
1,63
1,64
1,66
1,69
1,71
1,74
1,75
1,76
1,78
1,79
1,81
1,83
2,2
2,4
2,5
2,7
2,8
2,9
2,12
2,13
2,16
2,17
2,19
2,23
2,24
2,27
2,28
2,30
2,32
2,34
2,35
2,37
2,38
2,86
2,87
2,40
2,43
2,45
2,47
2,48
2,53
2,55
2,57
2,58
2,59
2,60
2,61
2,65
2,67
2,90
2,70
2,72
2,1
2,77
2,80
2,62
2,46
2,82
2,84
2,3
2,6
2,10
2,11
2,91
2,14
2,15
2,18
2,21
2,22
2,20
2,25
2,26
2,29
2,31
2,85
2,33
2,36
2,39
2,41
2,42
2,44
2,50
2,51
2,52
2,54
2,56
2,88
2,89
2,63
2,64
2,69
2,71
2,74
2,75
2,76
2,78
2,79
2,81
2,83
3,2
3,4
3,8
3,9
3,94
3,12
3,16
3,17
3,19
3,98
3,23
3,99
3,27
3,28
3,30
3,104
3,32
3,34
3,35
3,110
3,111
3,37
3,38
3,40
3,115
3,102
3,47
3,48
3,53
3,59
3,60
3,61
3,65
3,70
3,72
3,1
3,77
3,80
3,62
3,46
3,116
3,3
3,6
3,14
3,95
3,18
3,97
3,22
3,20
3,25
3,101
3,26
3,29
3,31
3,106
3,33
3,107
3,108
3,36
3,112
3,39
3,41
3,113
3,44
3,92
3,93
3,50
3,51
3,52
3,54
3,56
3,96
3,100
3,64
3,103
3,105
3,69
3,109
3,71
3,74
3,75
3,76
3,78
3,79
3,114
3,83
