1,2
2,3
2,4
2,5
2,7
2,6
2,8
2,9
2,10
5,11
5,14
5,16
5,17
5,19
5,20
5,21
5,27
5,29
5,30
5,31
5,33
5,34
5,35
5,36
5,39
5,40
5,41
5,42
5,44
5,45
5,46
5,48
5,50
5,51
5,54
5,55
5,58
5,61
5,62
5,63
5,67
5,71
5,74
5,75
5,78
5,79
5,82
5,83
5,84
5,88
5,89
5,90
5,92
5,93
5,94
5,98
5,99
5,12
5,13
5,15
5,18
5,22
5,23
5,24
5,25
5,26
5,28
5,32
5,37
5,38
5,43
5,47
5,49
5,52
5,53
5,56
5,57
5,59
5,60
5,64
5,65
5,66
5,68
5,69
5,70
5,72
5,73
5,76
5,77
5,80
5,81
5,85
5,86
5,87
5,91
5,95
5,96
5,97
6,2
7,100
7,101
7,102
7,104
7,103
7,105
7,106
7,107
7,109
7,108
7,110
7,111
7,112
7,113
7,114
7,115
7,116
7,117
7,118
7,119
7,120
7,121
7,122
7,123
7,124
7,125
7,126
7,127
7,128
7,129
7,130
7,131
7,132
